Run name,Collab pairs,Status ok ratio,Non-ok ratio,Fused ratio,Skipped ratio,Selected for blur ratio,Blurred ratio,Mean cov trace,Median cov trace,p95 cov trace all,p95 cov trace ok-only,Mean mask IoU after warp,Median mask IoU after warp,Mean mask IoU after warp ok-only,Median mask IoU after warp ok-only,AP@0.3,AP@0.5,AP@0.7
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_2p0__xyz0p2__ryp2__seed42,1006,0.889662027833002,0.11033797216699803,0.889662027833002,0.110337972166998,0.07157057654075547,0.07157057654075547,8.741421055537476,1.425820231437683,50.01000213623047,14.514214611053461,0.19314766280962692,0.20271509814712896,0.2124384287833497,0.2135922330097087,0.8418311811325474,0.8005093719963624,0.6454797760698695
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,1006,0.8817097415506958,0.11829025844930419,0.8817097415506958,0.11829025844930417,0.3518886679920477,0.3518886679920477,35.51051463868106,8.693185806274414,110.84858322143555,120.55799331665011,0.024094505074173087,0.0175438596491228,0.02567294274096372,0.0188679245283018,0.6168854178895017,0.6033015938710272,0.5444817606653011
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_4p0__xyz0p2__ryp4__seed28,1006,0.8946322067594433,0.10536779324055667,0.8946322067594433,0.10536779324055666,0.06262425447316103,0.06262425447316103,10.041240417238196,1.1965232491493225,50.01000213623047,13.893716764450073,0.21311617132984123,0.2222222222222222,0.23257095401860647,0.2333333333333333,0.8566671638452702,0.8316974066072157,0.6913488689645337
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_4p0__xyz0p2__ryp4__seed42,1006,0.8886679920477137,0.11133200795228626,0.8886679920477137,0.11133200795228629,0.09542743538767395,0.09542743538767395,10.733438320490622,1.7852084040641785,50.01000213623047,24.859518623352,0.14281250628441045,0.1313131313131313,0.1561983973781309,0.13998593106220475,0.7748223088697013,0.7141457296754578,0.569468289637979
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_6p0__xyz0p2__ryp6__seed20,1006,0.8866799204771372,0.11332007952286283,0.8866799204771372,0.11332007952286283,0.5278330019880716,0.5278330019880716,120.67032257243102,19.86522388458252,890.0363922119141,957.5651123046874,0.015350326666886113,0.0080650406504065,0.01563181015734966,0.0084389688078621,0.5944418420339331,0.5820553106331318,0.5293593171177714
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_6p0__xyz0p2__ryp6__seed28,1006,0.8996023856858847,0.10039761431411531,0.8996023856858847,0.10039761431411531,0.06759443339960239,0.06759443339960239,8.928530268117445,1.3297783136367798,50.01000213623047,13.434467124938962,0.20645991822257279,0.21160864682762492,0.22447164448300025,0.2258064516129032,0.8409430343062162,0.8094708184564113,0.6534492188620867
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_6p0__xyz0p2__ryp6__seed42,1006,0.885685884691849,0.11431411530815105,0.885685884691849,0.1143141153081511,0.10934393638170974,0.10934393638170974,11.748581626298828,2.2673293352127075,50.01000213623047,27.578612327575684,0.09914716596797322,0.0869565217391304,0.10771732865897486,0.0941176470588235,0.6982433966345406,0.6498680373306387,0.5516516834624066
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_8p0__xyz0p2__ryp8__seed20,1006,0.8369781312127237,0.16302186878727631,0.8369781312127237,0.16302186878727634,0.5894632206759444,0.5894632206759444,98.7447219007828,40.26516151428223,275.1055755615234,336.65109405517546,0.013892940081158375,0.0,0.013766260920146947,0.0,0.6039501857271816,0.5935175117337577,0.5446180327254705
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_8p0__xyz0p2__ryp8__seed28,1006,0.8936381709741551,0.1063618290258449,0.8936381709741551,0.10636182902584493,0.055666003976143144,0.055666003976143144,10.32247823434206,1.50249445438385,50.01000213623047,11.919540119171124,0.19269419745185293,0.19617005680776978,0.2102918034275199,0.2087912087912088,0.8405734791080361,0.7861415174027175,0.6142388840778872
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_8p0__xyz0p2__ryp8__seed42,1006,0.8866799204771372,0.11332007952286283,0.8866799204771372,0.11332007952286283,0.1242544731610338,0.1242544731610338,12.242129951294615,2.657197952270508,50.01000213623047,31.307092285156227,0.07479223481504843,0.0564709008769598,0.08056525141570794,0.0602409638554216,0.6690155444478079,0.6347999960835979,0.5539548574313701
